T-6h Precursor Inputs,,,,,,,,Forecast Predictions,,,,,,,Ground Truth,,Rubric Scores,,,
Model: ChatGPT,,,,,,,,,,,,,,,,,,,,
Item ID,Event Type,Location,Latitude,Longitude,Temperature (T-6h),Wind (T-6h),MSLP (T-6h),Event Will Occur,Affected Region,Severity,Forecast Confidence (%),At-Event Temperature,At-Event Wind,At-Event MSLP,GT Severity,GT Confidence (%),"Correctness
(0–2)","Severity
Alignment
(0–1)","Calibration
Score
(0–1)","Total
Score
(0–4)"
1,Tropical Cyclone,"Buras, Plaquemines Parish, Louisiana, USA",29.16,-89.60,79°F / 26°C,"120 mph (104 kt) sustained, WNW at 15 mph",918 hPa,Yes,"Buras, Plaquemines Parish, Louisiana, USA",Extreme,95%,79°F / 26°C,"120 mph (104 kt) sustained, WNW at 15 mph",903.0 hPa,Extreme,92,2.00,1.00,0.97,3.97
2,Tropical Cyclone,"Guiuan, Eastern Samar, Philippines",11.03,125.72,84°F / 29°C,"170 kt (~195 mph) sustained, WNW at 30 kt",895 hPa,Yes,"Guiuan, Eastern Samar, Philippines",Extreme,95%,84°F / 29°C,"170 kt (~195 mph) sustained, WNW at 30 kt",880 hPa,Extreme,75,2.00,1.00,0.80,3.8
3,Tornado Outbreak,"Tuscaloosa / Jefferson Co., Alabama, USA",33.21,-87.57,79°F / 26°C,"SSW 28 mph, strong low-level jet active",997 hPa,Yes,"Tuscaloosa / Jefferson Co., Alabama, USA",High,80%,79°F / 26°C,"SSW 28 mph, strong low-level jet active",992.0 hPa,Extreme,80,2.00,0.50,1.00,3.5
4,Heat Wave,"Paris Montsouris, France (WMO #07156)",48.82,2.34,33C / 91F,ESE 10 km/h (~6 mph),1024 hPa,Yes,"Paris Montsouris, France (WMO #07156)",High,75%,33C / 91F (+3–8°C),ESE 10 km/h (~6 mph),1024.0 hPa,Extreme,35,2.00,0.50,0.60,3.1
5,Hybrid Tropical Cyclone,"Brigantine, Atlantic County, New Jersey, USA",39.41,-74.33,62°F / 17°C,"80 mph (70 kt) sustained, WNW at 28 mph",948 hPa,Yes,"Brigantine, Atlantic County, New Jersey, USA",High,95%,62°F / 17°C,"80 mph (70 kt) sustained, WNW at 28 mph",933.0 hPa,High,95,2.00,1.00,1.00,4
6,Arctic Outbreak / Winter Storm,"Dallas Love Field ASOS (KDAL), Texas, USA",32.85,-96.85,5°F / -15°C,NNW 22 mph,1038 hPa,Yes,"Dallas Love Field ASOS (KDAL), Texas, USA",High,78%,5°F / -15°C,NNW 22 mph,1038.0 hPa,High,85,2.00,1.00,0.93,3.93
7,Heat Wave,"Portland ASOS (KPDX), Oregon, USA",45.59,-122.60,91°F / 33°C (record-breaking at 8 AM),W 5 mph,1022 hPa,Yes,"Portland ASOS (KPDX), Oregon, USA",High,75%,91°F / 33°C (record-breaking at 8 AM) (+3–8°C),W 5 mph,1022.0 hPa,High,70,2.00,1.00,0.95,3.95
8,Tornado,"Joplin (22nd and Main St), Missouri, USA",37.08,-94.51,75°F / 24°C,"SSW 22 mph, shear environment actively developing",998 hPa,Yes,"Joplin (22nd and Main St), Missouri, USA",High,80%,75°F / 24°C,"SSW 22 mph, shear environment actively developing",993.0 hPa,High,55,2.00,1.00,0.75,3.75
9,Flash Flood,"Whitesburg, Letcher County, Kentucky, USA",37.12,-82.91,70°F / 21°C,"ESE 8 mph, persistent moist Gulf inflow",1011 hPa,Yes,"Whitesburg, Letcher County, Kentucky, USA",High,78%,70°F / 21°C,"ESE 8 mph, persistent moist Gulf inflow",1011.0 hPa,Medium,38,2.00,0.50,0.60,3.1
10,Polar Vortex Displacement,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,-15°F / -26°C,NW 24 mph; wind chill -40°F / -40°C,1038 hPa,Yes,"Chicago O'Hare ASOS (KORD), Illinois, USA",Medium,90%,-15°F / -26°C,NW 24 mph; wind chill -40°F / -40°C,1038.0 hPa,Low,90,2.00,0.50,1.00,3.5
11,Tropical Cyclone,"Rockport, Aransas County, Texas, USA",28.03,-97.05,88°F / 31°C,"110 kt (~127 mph) sustained, WNW at 9 mph",937 hPa,Yes,"Rockport, Aransas County, Texas, USA",High,95%,88°F / 31°C,"110 kt (~127 mph) sustained, WNW at 9 mph",922.0 hPa,Extreme,80,2.00,0.50,0.85,3.35
12,Tropical Cyclone,"Yabucoa, Puerto Rico, USA",18.05,-65.89,84°F / 29°C,"140 kt (~161 mph) sustained, WNW at 15 mph",910 hPa,Yes,"Yabucoa, Puerto Rico, USA",Extreme,95%,84°F / 29°C,"140 kt (~161 mph) sustained, WNW at 15 mph",895.0 hPa,Extreme,68,2.00,1.00,0.73,3.73
13,Tropical Cyclone,"Cudjoe Key, Monroe County, Florida, USA",24.67,-81.52,82°F / 28°C,"130 kt (~150 mph) sustained, NNW at 8 mph",929 hPa,Yes,"Cudjoe Key, Monroe County, Florida, USA",Extreme,95%,82°F / 28°C,"130 kt (~150 mph) sustained, NNW at 8 mph",914.0 hPa,Extreme,90,2.00,1.00,0.95,3.95
14,Tropical Cyclone,"Cayo Costa, Lee County, Florida, USA",26.67,-82.26,85°F / 29°C,"125 kt (~144 mph) sustained, NNE at 10 mph",940 hPa,Yes,"Cayo Costa, Lee County, Florida, USA",High,95%,85°F / 29°C,"125 kt (~144 mph) sustained, NNE at 10 mph",925.0 hPa,Extreme,72,2.00,0.50,0.77,3.27
15,Tropical Cyclone,"Port Fourchon, Lafourche Parish, Louisiana, USA",29.11,-90.20,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 mph",931 hPa,Yes,"Port Fourchon, Lafourche Parish, Louisiana, USA",High,95%,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 mph",916.0 hPa,Extreme,85,2.00,0.50,0.90,3.4
16,Tropical Cyclone,"Homestead, Miami-Dade County, Florida, USA",25.51,-80.27,84°F / 29°C,"120 kt (~138 mph) sustained, WNW at 17 mph",940 hPa,Yes,"Homestead, Miami-Dade County, Florida, USA",High,95%,84°F / 29°C,"120 kt (~138 mph) sustained, WNW at 17 mph",925.0 hPa,Extreme,55,2.00,0.50,0.60,3.1
17,Tropical Cyclone,"Hainggyikyun Island, Ayeyarwady Delta, Myanmar",16.50,95.00,84°F / 29°C,"100 kt (~115 mph) sustained, ENE at 14 kt",962 hPa,Yes,"Hainggyikyun Island, Ayeyarwady Delta, Myanmar",High,95%,84°F / 29°C,"100 kt (~115 mph) sustained, ENE at 14 kt",947.0 hPa,Extreme,30,2.00,0.50,0.35,2.85
18,Tropical Cyclone,"Baggao, Cagayan Province, Philippines",18.20,121.43,83°F / 28°C,"155 kt (~178 mph) sustained, WNW at 28 kt",900 hPa,Yes,"Baggao, Cagayan Province, Philippines",Extreme,95%,83°F / 28°C,"155 kt (~178 mph) sustained, WNW at 28 kt",885.0 hPa,Extreme,78,2.00,1.00,0.83,3.83
19,Tropical Cyclone,"Port Vila, Efate Island, Vanuatu",-17.73,168.32,84°F / 29°C,"150 kt (~173 mph) sustained, SSE at 22 kt",895 hPa,Yes,"Port Vila, Efate Island, Vanuatu",Extreme,95%,84°F / 29°C,"150 kt (~173 mph) sustained, SSE at 22 kt",880 hPa,Extreme,62,2.00,1.00,0.67,3.67
20,Tropical Cyclone,"Beira, Sofala Province, Mozambique",-19.84,34.84,82°F / 28°C,"115 kt (~132 mph) sustained, SSW at 10 kt",949 hPa,Yes,"Beira, Sofala Province, Mozambique",High,95%,82°F / 28°C,"115 kt (~132 mph) sustained, SSW at 10 kt",934.0 hPa,Extreme,50,2.00,0.50,0.55,3.05
21,Mediterranean Cyclone,"Derna, Derna District, Libya",32.76,22.64,25°C / 77°F,"NE 40 km/h (~25 mph), cyclonic inflow",997 hPa,Yes,"Derna, Derna District, Libya",Medium,90%,25°C / 77°F,"NE 40 km/h (~25 mph), cyclonic inflow",997.0 hPa,Extreme,28,2.00,0.00,0.38,2.38
22,Flash Flood,"Altenahr, Ahrweiler District, Rhineland-Palatinate, Germany",50.53,7.02,17°C / 63°F,E 18 km/h (~11 mph),1007 hPa,Yes,"Altenahr, Ahrweiler District, Rhineland-Palatinate, Germany",High,78%,17°C / 63°F,E 18 km/h (~11 mph),1007.0 hPa,Extreme,38,2.00,0.50,0.60,3.1
23,Monsoon Flooding,"Larkana, Sindh Province, Pakistan",27.52,68.76,32°C / 90°F,"SW 15 km/h (~9 mph), monsoon flow",1004 hPa,Yes,"Larkana, Sindh Province, Pakistan",High,78%,32°C / 90°F,"SW 15 km/h (~9 mph), monsoon flow",1004.0 hPa,Extreme,22,2.00,0.50,0.44,2.94
24,Heat Wave,"Hyderabad, Telangana, India",17.38,78.47,41°C / 106°F,W 10 km/h (~6 mph),1001 hPa,Yes,"Hyderabad, Telangana, India",Medium,75%,41°C / 106°F (+3–8°C),W 10 km/h (~6 mph),1001.0 hPa,Extreme,42,2.00,0.00,0.67,2.67
25,Heat Wave,"Chicago Midway Airport (KMDW), Illinois, USA",41.79,-87.75,34°C / 93°F,SW 8 mph,1015 hPa,Yes,"Chicago Midway Airport (KMDW), Illinois, USA",High,75%,34°C / 93°F (+3–8°C),SW 8 mph,1015.0 hPa,Extreme,40,2.00,0.50,0.65,3.15
26,Tornado,"Moore, Cleveland County, Oklahoma, USA",35.33,-97.49,77°F / 25°C,"S-SW 28 mph, active low-level jet",995 hPa,Yes,"Moore, Cleveland County, Oklahoma, USA",High,80%,77°F / 25°C,"S-SW 28 mph, active low-level jet",990.0 hPa,High,78,2.00,1.00,0.98,3.98
27,Tropical Cyclone,"Les Anglais, Grand'Anse Department, Haiti",18.25,-73.98,83°F / 28°C,"140 kt (~161 mph) sustained, N at 8 kt",934 hPa,Yes,"Les Anglais, Grand'Anse Department, Haiti",High,95%,83°F / 28°C,"140 kt (~161 mph) sustained, N at 8 kt",919.0 hPa,High,82,2.00,1.00,0.87,3.87
