T-6h Precursor Inputs,,,,,,,,Forecast Predictions,,,,,,,Ground Truth,,Rubric Scores,,,
Model: Claude,,,,,,,,,,,,,,,,,,,,
Item ID,Event Type,Location,Latitude,Longitude,Temperature (T-6h),Wind (T-6h),MSLP (T-6h),Event Will Occur,Affected Region,Severity,Forecast Confidence (%),At-Event Temperature,At-Event Wind,At-Event MSLP,GT Severity,GT Confidence (%),"Correctness
(0–2)","Severity
Alignment
(0–1)","Calibration
Score
(0–1)","Total
Score
(0–4)"
1,Tropical Cyclone,"Buras, Plaquemines Parish, Louisiana, USA",29.16,-89.60,79°F / 26°C,"120 mph (104 kt) sustained, WNW at 15 mph",918 hPa,Yes,Plaquemines Parish & SE Louisiana coast,Extreme,97%,82°F / 28°C,"125 mph (109 kt) sustained, WNW at 13 mph",920 hPa,Extreme,92,2.00,1.00,0.95,3.95
2,Tropical Cyclone,"Guiuan, Eastern Samar, Philippines",11.03,125.72,84°F / 29°C,"170 kt (~195 mph) sustained, WNW at 30 kt",895 hPa,Yes,Eastern Samar & central Philippines,Extreme,99%,83°F / 28°C,"195 mph (170 kt) sustained, WNW at 28 kt",895 hPa,Extreme,75,2.00,1.00,0.76,3.76
3,Tornado Outbreak,"Tuscaloosa / Jefferson Co., Alabama, USA",33.21,-87.57,79°F / 26°C,"SSW 28 mph, strong low-level jet active",997 hPa,Yes,"Tuscaloosa, Jefferson, Calhoun & Walker Counties, Alabama",Extreme,93%,81°F / 27°C,"SSW 35 mph, explosive supercell activity",989 hPa,Extreme,80,2.00,1.00,0.87,3.87
4,Heat Wave,"Paris Montsouris, France (WMO #07156)",48.82,2.34,33C / 91F,ESE 10 km/h (~6 mph),1024 hPa,Yes,Paris Basin & northern France,High,91%,40°C / 104°F,"ESE 5 km/h (~3 mph), very weak flow",1022 hPa,Extreme,35,2.00,0.50,0.44,2.94
5,Hybrid Tropical Cyclone,"Brigantine, Atlantic County, New Jersey, USA",39.41,-74.33,62°F / 17°C,"80 mph (70 kt) sustained, WNW at 28 mph",948 hPa,Yes,New Jersey coastline & NE US coast,High,88%,58°F / 14°C,"90 mph (78 kt) sustained, WNW at 25 mph",945 hPa,High,95,2.00,1.00,0.93,3.93
6,Arctic Outbreak / Winter Storm,"Dallas Love Field ASOS (KDAL), Texas, USA",32.85,-96.85,5°F / -15°C,NNW 22 mph,1038 hPa,Yes,Dallas–Fort Worth metroplex & central Texas,High,94%,10°F / -12°C,"NNW 30 mph, wind chill near -10°F",1042 hPa,High,85,2.00,1.00,0.91,3.91
7,Heat Wave,"Portland ASOS (KPDX), Oregon, USA",45.59,-122.60,91°F / 33°C (record-breaking at 8 AM),W 5 mph,1022 hPa,Yes,Portland metro area & Pacific NW,Extreme,96%,116°F / 47°C,"W 3 mph, near-calm heat dome",1018 hPa,High,70,2.00,0.50,0.74,3.24
8,Tornado,"Joplin (22nd and Main St), Missouri, USA",37.08,-94.51,75°F / 24°C,"SSW 22 mph, shear environment actively developing",998 hPa,Yes,Joplin metro & SW Missouri,Extreme,91%,77°F / 25°C,"SSW 40+ mph, violent EF5 circulation",975 hPa,High,55,2.00,0.50,0.64,3.14
9,Flash Flood,"Whitesburg, Letcher County, Kentucky, USA",37.12,-82.91,70°F / 21°C,"ESE 8 mph, persistent moist Gulf inflow",1011 hPa,Yes,"Letcher, Pike & Knott Counties, Kentucky",Extreme,89%,72°F / 22°C,"ESE 5 mph, flash flood onset",1008 hPa,Medium,38,2.00,0.00,0.49,2.49
10,Polar Vortex Displacement,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,-15°F / -26°C,NW 24 mph; wind chill -40°F / -40°C,1038 hPa,Yes,Chicago metro & Great Lakes region,Extreme,98%,-22°F / -30°C,NW 30 mph; wind chill -50°F / -46°C,1042 hPa,Low,90,2.00,0.00,0.92,2.92
