T-6h Precursor Inputs,,,,,,,,Forecast Predictions,,,,,,,Ground Truth,,Rubric Scores,,,
Model: Gemini,,,,,,,,,,,,,,,,,,,,
Item ID,Event Type,Location,Latitude,Longitude,Temperature (T-6h),Wind (T-6h),MSLP (T-6h),Event Will Occur,Affected Region,Severity,Forecast Confidence (%),At-Event Temperature,At-Event Wind,At-Event MSLP,GT Severity,GT Confidence (%),"Correctness
(0–2)","Severity
Alignment
(0–1)","Calibration
Score
(0–1)","Total
Score
(0–4)"
1,Tropical Cyclone,"Buras, Plaquemines Parish, Louisiana, USA",29.16,-89.60,79°F / 26°C,"120 mph (104 kt) sustained, WNW at 15 mph",918 hPa,Yes,Lower Mississippi Valley & US Gulf Coast,Extreme,88%,26°C / 79°F,"125 mph sustained, gusts to 150 mph",920 hPa,Extreme,92,1.00,1.00,0.96,2.96
2,Tropical Cyclone,"Guiuan, Eastern Samar, Philippines",11.03,125.72,84°F / 29°C,"170 kt (~195 mph) sustained, WNW at 30 kt",895 hPa,Yes,"Eastern Visayas Region, Philippines",Extreme,92%,29°C / 84°F,"195 mph sustained, gusts to 230 mph",895 hPa,Extreme,75,2.00,1.00,0.83,3.83
3,Tornado Outbreak,"Tuscaloosa / Jefferson Co., Alabama, USA",33.21,-87.57,79°F / 26°C,"SSW 28 mph, strong low-level jet active",997 hPa,Yes,"Central and Northern Alabama, USA",Extreme,85%,26°C / 79°F,"EF4/EF5 tracking at 60+ mph, violent rot.",990 hPa,Extreme,80,2.00,1.00,0.95,3.95
4,Heat Wave,"Paris Montsouris, France (WMO #07156)",48.82,2.34,33C / 91F,ESE 10 km/h (~6 mph),1024 hPa,Yes,"Île-de-France (Greater Paris Area), Western Europe",Extreme,90%,42.6°C / 108.7°F,"Stagnant, light variable winds <5 mph",1020 hPa,Extreme,35,2.00,1.00,0.45,3.45
5,Hybrid Tropical Cyclone,"Brigantine, Atlantic County, New Jersey, USA",39.41,-74.33,62°F / 17°C,"80 mph (70 kt) sustained, WNW at 28 mph",948 hPa,Yes,Mid-Atlantic & Northeastern US Coastline,Extreme,87%,17°C / 62°F,Expanded tropical storm to hurricane force,945 hPa,High,95,1.00,0.50,0.92,2.42
6,Arctic Outbreak / Winter Storm,"Dallas Love Field ASOS (KDAL), Texas, USA",32.85,-96.85,5°F / -15°C,NNW 22 mph,1038 hPa,Yes,"North-Central Texas & Southern Plains, USA",Extreme,94%,-19°C / -2°F,"Heavy freezing rain, sleet, and snow",1040 hPa,High,85,2.00,0.50,0.91,3.41
7,Heat Wave,"Portland ASOS (KPDX), Oregon, USA",45.59,-122.60,91°F / 33°C (record-breaking at 8 AM),W 5 mph,1022 hPa,Yes,"Willamette Valley (Pacific Northwest), USA",Extreme,89%,46.7°C / 116°F,Absolute atmospheric stagnation,1022 hPa,High,70,1.00,0.50,0.81,2.31
8,Tornado,"Joplin (22nd and Main St), Missouri, USA",37.08,-94.51,75°F / 24°C,"SSW 22 mph, shear environment actively developing",998 hPa,Yes,"Southwest Missouri, USA",Extreme,72%,24°C / 75°F,Rain-wrapped multi-vortex EF5 tornado,998 hPa,High,55,2.00,0.50,0.83,3.33
9,Flash Flood,"Whitesburg, Letcher County, Kentucky, USA",37.12,-82.91,70°F / 21°C,"ESE 8 mph, persistent moist Gulf inflow",1011 hPa,Yes,Southeastern Kentucky/Central Appalachia,High,68%,21°C / 70°F,Persistent moist training convective cells,1011 hPa,Medium,38,1.00,0.50,0.70,2.2
10,Polar Vortex Displacement,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,-15°F / -26°C,NW 24 mph; wind chill -40°F / -40°C,1038 hPa,Yes,"Upper Midwest & Great Lakes Region, USA",High,95%,-31°C / -23°F,"NW 25-35 mph, wind chill -52°F",1038 hPa,Low,90,1.00,0.00,0.95,1.95
